m,coco,coco_pct,country,place
4,25.0,0.0,nederlandse-antillen,curacao
4,26.0,0.0,nederlandse-antillen,curacao
4,27.0,0.0,nederlandse-antillen,curacao
5,1.0,0.01,nederlandse-antillen,curacao
5,2.0,0.762,nederlandse-antillen,curacao
5,3.0,0.219,nederlandse-antillen,curacao
5,4.0,0.001,nederlandse-antillen,curacao
5,5.0,0.0,nederlandse-antillen,curacao
5,7.0,0.001,nederlandse-antillen,curacao
5,8.0,0.0,nederlandse-antillen,curacao
5,9.0,0.0,nederlandse-antillen,curacao
5,17.0,0.003,nederlandse-antillen,curacao
5,18.0,0.004,nederlandse-antillen,curacao
5,25.0,0.0,nederlandse-antillen,curacao
5,26.0,0.0,nederlandse-antillen,curacao
5,27.0,0.0,nederlandse-antillen,curacao
6,1.0,0.013,nederlandse-antillen,curacao
6,2.0,0.807,nederlandse-antillen,curacao
6,3.0,0.13,nederlandse-antillen,curacao
6,4.0,0.001,nederlandse-antillen,curacao
6,5.0,0.002,nederlandse-antillen,curacao
6,7.0,0.001,nederlandse-antillen,curacao
6,8.0,0.0,nederlandse-antillen,curacao
6,9.0,0.0,nederlandse-antillen,curacao
6,17.0,0.008,nederlandse-antillen,curacao
6,18.0,0.036,nederlandse-antillen,curacao
6,25.0,0.002,nederlandse-antillen,curacao
6,26.0,0.0,nederlandse-antillen,curacao
6,27.0,0.0,nederlandse-antillen,curacao
7,1.0,0.015,nederlandse-antillen,curacao
7,2.0,0.861,nederlandse-antillen,curacao
7,3.0,0.057,nederlandse-antillen,curacao
7,4.0,0.0,nederlandse-antillen,curacao
7,5.0,0.0,nederlandse-antillen,curacao
7,7.0,0.001,nederlandse-antillen,curacao
7,8.0,0.0,nederlandse-antillen,curacao
7,9.0,0.0,nederlandse-antillen,curacao
7,17.0,0.021,nederlandse-antillen,curacao
7,18.0,0.042,nederlandse-antillen,curacao
7,25.0,0.001,nederlandse-antillen,curacao
7,26.0,0.0,nederlandse-antillen,curacao
7,27.0,0.0,nederlandse-antillen,curacao
8,1.0,0.026,nederlandse-antillen,curacao
8,2.0,0.856,nederlandse-antillen,curacao
8,3.0,0.038,nederlandse-antillen,curacao
8,4.0,0.0,nederlandse-antillen,curacao
8,5.0,0.0,nederlandse-antillen,curacao
8,7.0,0.002,nederlandse-antillen,curacao
8,8.0,0.0,nederlandse-antillen,curacao
8,9.0,0.0,nederlandse-antillen,curacao
8,17.0,0.016,nederlandse-antillen,curacao
8,18.0,0.056,nederlandse-antillen,curacao
8,25.0,0.005,nederlandse-antillen,curacao
8,26.0,0.0,nederlandse-antillen,curacao
8,27.0,0.0,nederlandse-antillen,curacao
9,1.0,0.016,nederlandse-antillen,curacao
9,2.0,0.893,nederlandse-antillen,curacao
9,3.0,0.031,nederlandse-antillen,curacao
9,4.0,0.0,nederlandse-antillen,curacao
9,5.0,0.0,nederlandse-antillen,curacao
9,7.0,0.001,nederlandse-antillen,curacao
9,8.0,0.0,nederlandse-antillen,curacao
9,9.0,0.0,nederlandse-antillen,curacao
9,17.0,0.01,nederlandse-antillen,curacao
9,18.0,0.034,nederlandse-antillen,curacao
9,25.0,0.015,nederlandse-antillen,curacao
9,26.0,0.0,nederlandse-antillen,curacao
9,27.0,0.0,nederlandse-antillen,curacao
10,1.0,0.01,nederlandse-antillen,curacao
10,2.0,0.733,nederlandse-antillen,curacao
10,3.0,0.112,nederlandse-antillen,curacao
10,4.0,0.002,nederlandse-antillen,curacao
10,5.0,0.0,nederlandse-antillen,curacao
10,7.0,0.008,nederlandse-antillen,curacao
10,8.0,0.002,nederlandse-antillen,curacao
10,9.0,0.001,nederlandse-antillen,curacao
10,17.0,0.027,nederlandse-antillen,curacao
10,18.0,0.077,nederlandse-antillen,curacao
10,25.0,0.025,nederlandse-antillen,curacao
10,26.0,0.002,nederlandse-antillen,curacao
10,27.0,0.001,nederlandse-antillen,curacao
11,1.0,0.007,nederlandse-antillen,curacao
11,2.0,0.678,nederlandse-antillen,curacao
11,3.0,0.075,nederlandse-antillen,curacao
11,4.0,0.001,nederlandse-antillen,curacao
11,5.0,0.0,nederlandse-antillen,curacao
11,7.0,0.007,nederlandse-antillen,curacao
11,8.0,0.002,nederlandse-antillen,curacao
11,9.0,0.002,nederlandse-antillen,curacao
11,17.0,0.045,nederlandse-antillen,curacao
11,18.0,0.158,nederlandse-antillen,curacao
11,25.0,0.025,nederlandse-antillen,curacao
11,26.0,0.0,nederlandse-antillen,curacao
11,27.0,0.0,nederlandse-antillen,curacao
12,1.0,0.017,nederlandse-antillen,curacao
12,2.0,0.864,nederlandse-antillen,curacao
12,3.0,0.032,nederlandse-antillen,curacao
12,4.0,0.0,nederlandse-antillen,curacao
12,5.0,0.0,nederlandse-antillen,curacao
12,7.0,0.001,nederlandse-antillen,curacao
12,8.0,0.001,nederlandse-antillen,curacao
12,9.0,0.0,nederlandse-antillen,curacao
12,17.0,0.035,nederlandse-antillen,curacao
12,18.0,0.047,nederlandse-antillen,curacao
12,25.0,0.001,nederlandse-antillen,curacao
12,26.0,0.0,nederlandse-antillen,curacao
12,27.0,0.001,nederlandse-antillen,curacao
