m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
7,21.1,28.0,35.2,12.5,1.0,0.02,0.0,spanje,sevilla
8,21.2,28.4,35.7,11.3,1.0,0.02,0.0,spanje,sevilla
9,19.2,24.8,31.4,9.8,4.0,0.14,4.0,spanje,sevilla
10,15.5,20.3,26.9,8.5,7.0,0.24,60.0,spanje,sevilla
11,10.9,15.0,21.1,8.5,10.0,0.34,35.0,spanje,sevilla
12,7.7,11.9,17.7,7.8,8.0,0.26,22.0,spanje,sevilla
1,5.6,9.3,14.4,15.4,5.0,0.18,20.0,spanje,sitges
2,7.2,10.8,15.8,14.8,6.0,0.21,5.0,spanje,sitges
3,9.2,12.6,16.9,15.7,7.0,0.23,14.0,spanje,sitges
4,11.6,15.0,18.5,15.3,8.0,0.27,27.0,spanje,sitges
5,14.9,17.8,21.8,13.9,7.0,0.23,22.0,spanje,sitges
6,19.4,22.5,26.9,13.9,6.0,0.2,19.0,spanje,sitges
7,22.5,25.4,29.4,13.7,5.0,0.15,3.0,spanje,sitges
8,23.2,25.9,30.0,14.3,6.0,0.18,9.0,spanje,sitges
9,19.7,22.9,27.4,14.7,10.0,0.32,41.0,spanje,sitges
10,15.9,19.3,23.5,14.5,9.0,0.28,51.0,spanje,sitges
11,10.7,14.0,18.4,14.5,8.0,0.28,18.0,spanje,sitges
12,7.4,10.9,16.0,15.1,4.0,0.14,6.0,spanje,sitges
1,2.7,8.7,15.2,12.0,4.0,0.13,8.0,spanje,tarragona
2,5.1,10.5,16.7,11.0,4.0,0.12,5.0,spanje,tarragona
3,6.9,12.4,18.2,13.3,8.0,0.25,12.0,spanje,tarragona
4,9.3,14.6,20.1,11.8,9.0,0.3,28.0,spanje,tarragona
5,12.7,18.2,24.0,11.0,7.0,0.22,26.0,spanje,tarragona
6,17.0,22.7,28.2,10.3,6.0,0.19,20.0,spanje,tarragona
7,20.7,25.8,31.5,10.4,4.0,0.14,4.0,spanje,tarragona
8,20.8,26.2,32.2,10.6,5.0,0.16,8.0,spanje,tarragona
9,17.8,23.0,28.5,10.7,7.0,0.23,33.0,spanje,tarragona
10,13.1,19.0,24.0,10.6,6.0,0.2,27.0,spanje,tarragona
11,8.5,13.9,18.8,12.4,7.0,0.23,21.0,spanje,tarragona
12,5.3,11.0,16.3,12.1,3.0,0.11,7.0,spanje,tarragona
1,8.6,12.5,18.0,15.3,6.0,0.21,23.0,spanje,torremolinos
2,9.8,13.8,18.9,15.3,3.0,0.12,4.0,spanje,torremolinos
3,10.9,15.1,20.4,14.7,10.0,0.33,64.0,spanje,torremolinos
4,12.7,17.0,22.0,13.8,6.0,0.22,22.0,spanje,torremolinos
5,16.0,20.0,25.5,14.1,4.0,0.13,5.0,spanje,torremolinos
6,19.6,23.9,29.4,14.0,2.0,0.06,0.0,spanje,torremolinos
7,22.3,26.2,31.9,13.7,0.0,0.01,0.0,spanje,torremolinos
8,23.2,26.8,32.1,12.4,1.0,0.03,0.0,spanje,torremolinos
9,21.0,24.0,29.3,12.8,4.0,0.12,7.0,spanje,torremolinos
10,16.1,20.0,25.3,12.1,6.0,0.2,20.0,spanje,torremolinos
11,12.5,16.4,21.5,14.9,7.0,0.22,20.0,spanje,torremolinos
12,10.0,14.0,19.2,14.5,6.0,0.18,6.0,spanje,torremolinos
1,6.5,11.3,17.3,13.3,5.0,0.15,3.0,spanje,torrevieja
2,7.9,12.8,18.3,14.9,4.0,0.13,2.0,spanje,torrevieja
3,9.9,14.4,19.5,17.0,7.0,0.23,21.0,spanje,torrevieja
4,12.3,16.4,21.0,15.9,6.0,0.21,19.0,spanje,torrevieja
5,15.2,19.8,24.3,14.9,5.0,0.16,33.0,spanje,torrevieja
6,19.0,23.8,27.9,14.2,3.0,0.1,4.0,spanje,torrevieja
7,23.2,26.7,31.0,13.9,1.0,0.03,0.0,spanje,torrevieja
8,23.3,27.3,31.5,13.4,2.0,0.06,2.0,spanje,torrevieja
9,20.9,24.8,29.2,13.5,6.0,0.2,6.0,spanje,torrevieja
10,15.9,20.4,25.7,12.5,5.0,0.16,8.0,spanje,torrevieja
11,11.5,16.0,21.2,13.5,5.0,0.18,13.0,spanje,torrevieja
12,8.3,12.9,18.6,12.1,4.0,0.11,4.0,spanje,torrevieja
1,7.0,11.0,17.4,13.8,4.0,0.13,8.0,spanje,valencia
2,8.5,12.1,18.1,11.3,4.0,0.14,4.0,spanje,valencia
3,10.4,13.9,19.0,15.7,8.0,0.26,36.0,spanje,valencia
4,12.5,15.8,20.9,12.9,9.0,0.29,24.0,spanje,valencia
5,15.8,19.4,24.4,12.0,6.0,0.2,16.0,spanje,valencia
6,19.8,23.3,27.9,11.5,5.0,0.16,6.0,spanje,valencia
7,23.2,26.4,30.2,11.7,3.0,0.1,1.0,spanje,valencia
8,23.7,26.9,30.9,11.2,4.0,0.14,6.0,spanje,valencia
9,20.3,23.7,28.4,11.1,8.0,0.27,52.0,spanje,valencia
10,16.3,19.8,25.5,11.3,7.0,0.23,25.0,spanje,valencia
11,11.9,15.6,21.0,14.3,8.0,0.28,16.0,spanje,valencia
12,9.5,12.9,18.8,12.6,4.0,0.13,6.0,spanje,valencia
1,7.7,11.3,17.2,14.5,4.0,0.14,4.0,spanje,villajoyosa
2,8.0,12.5,18.7,14.1,4.0,0.13,2.0,spanje,villajoyosa
3,9.6,14.4,19.2,15.4,9.0,0.3,38.0,spanje,villajoyosa
4,12.1,16.6,21.5,12.5,9.0,0.3,31.0,spanje,villajoyosa
5,15.2,20.0,24.9,12.5,6.0,0.18,23.0,spanje,villajoyosa
6,19.4,24.2,28.9,11.3,4.0,0.12,1.0,spanje,villajoyosa
7,22.3,27.0,31.7,11.8,1.0,0.03,0.0,spanje,villajoyosa
8,22.9,27.3,32.5,11.1,2.0,0.08,1.0,spanje,villajoyosa
9,20.2,24.1,29.5,11.5,7.0,0.25,24.0,spanje,villajoyosa
10,15.5,20.4,25.6,10.8,5.0,0.16,28.0,spanje,villajoyosa
11,12.0,15.8,22.0,13.7,6.0,0.18,12.0,spanje,villajoyosa
12,8.8,13.1,18.8,11.8,4.0,0.13,2.0,spanje,villajoyosa
