m,coco,coco_pct,country,place
11,7.0,0.035,spanje,alicante
11,8.0,0.007,spanje,alicante
11,9.0,0.001,spanje,alicante
11,17.0,0.006,spanje,alicante
11,18.0,0.0,spanje,alicante
11,23.0,0.0,spanje,alicante
11,25.0,0.001,spanje,alicante
11,26.0,0.0,spanje,alicante
11,27.0,0.0,spanje,alicante
12,1.0,0.426,spanje,alicante
12,2.0,0.26,spanje,alicante
12,3.0,0.245,spanje,alicante
12,4.0,0.023,spanje,alicante
12,5.0,0.021,spanje,alicante
12,7.0,0.013,spanje,alicante
12,8.0,0.007,spanje,alicante
12,9.0,0.002,spanje,alicante
12,17.0,0.002,spanje,alicante
12,18.0,0.001,spanje,alicante
12,23.0,0.0,spanje,alicante
12,25.0,0.001,spanje,alicante
12,26.0,0.0,spanje,alicante
12,27.0,0.0,spanje,alicante
1,1.0,0.349,spanje,almeria
1,2.0,0.513,spanje,almeria
1,3.0,0.074,spanje,almeria
1,4.0,0.017,spanje,almeria
1,5.0,0.021,spanje,almeria
1,7.0,0.021,spanje,almeria
1,8.0,0.005,spanje,almeria
1,9.0,0.0,spanje,almeria
1,17.0,0.001,spanje,almeria
1,18.0,0.001,spanje,almeria
1,23.0,0.0,spanje,almeria
1,25.0,0.0,spanje,almeria
1,26.0,0.0,spanje,almeria
1,27.0,0.0,spanje,almeria
2,1.0,0.407,spanje,almeria
2,2.0,0.451,spanje,almeria
2,3.0,0.092,spanje,almeria
2,4.0,0.021,spanje,almeria
2,5.0,0.016,spanje,almeria
2,7.0,0.011,spanje,almeria
2,8.0,0.002,spanje,almeria
2,9.0,0.0,spanje,almeria
2,17.0,0.0,spanje,almeria
2,18.0,0.0,spanje,almeria
2,23.0,0.0,spanje,almeria
2,25.0,0.0,spanje,almeria
2,26.0,0.0,spanje,almeria
2,27.0,0.0,spanje,almeria
3,1.0,0.276,spanje,almeria
3,2.0,0.467,spanje,almeria
3,3.0,0.136,spanje,almeria
3,4.0,0.026,spanje,almeria
3,5.0,0.02,spanje,almeria
3,7.0,0.054,spanje,almeria
3,8.0,0.014,spanje,almeria
3,9.0,0.003,spanje,almeria
3,17.0,0.003,spanje,almeria
3,18.0,0.001,spanje,almeria
3,23.0,0.0,spanje,almeria
3,25.0,0.0,spanje,almeria
3,26.0,0.0,spanje,almeria
3,27.0,0.0,spanje,almeria
4,1.0,0.253,spanje,almeria
4,2.0,0.559,spanje,almeria
4,3.0,0.1,spanje,almeria
4,4.0,0.021,spanje,almeria
4,5.0,0.011,spanje,almeria
4,7.0,0.045,spanje,almeria
4,8.0,0.007,spanje,almeria
4,9.0,0.002,spanje,almeria
4,17.0,0.0,spanje,almeria
4,18.0,0.001,spanje,almeria
4,23.0,0.0,spanje,almeria
4,25.0,0.0,spanje,almeria
4,26.0,0.0,spanje,almeria
4,27.0,0.0,spanje,almeria
5,1.0,0.375,spanje,almeria
5,2.0,0.535,spanje,almeria
5,3.0,0.049,spanje,almeria
5,4.0,0.009,spanje,almeria
5,5.0,0.005,spanje,almeria
5,7.0,0.012,spanje,almeria
5,8.0,0.006,spanje,almeria
5,9.0,0.007,spanje,almeria
5,17.0,0.0,spanje,almeria
5,18.0,0.001,spanje,almeria
5,23.0,0.0,spanje,almeria
5,25.0,0.0,spanje,almeria
5,26.0,0.0,spanje,almeria
5,27.0,0.0,spanje,almeria
6,1.0,0.551,spanje,almeria
6,2.0,0.393,spanje,almeria
6,3.0,0.034,spanje,almeria
6,4.0,0.006,spanje,almeria
6,5.0,0.004,spanje,almeria
6,7.0,0.009,spanje,almeria
6,8.0,0.003,spanje,almeria
6,9.0,0.0,spanje,almeria
6,17.0,0.0,spanje,almeria
6,18.0,0.0,spanje,almeria
6,23.0,0.0,spanje,almeria
6,25.0,0.0,spanje,almeria
6,26.0,0.0,spanje,almeria
6,27.0,0.0,spanje,almeria
7,1.0,0.754,spanje,almeria
7,2.0,0.224,spanje,almeria
7,3.0,0.014,spanje,almeria
7,4.0,0.004,spanje,almeria
7,5.0,0.004,spanje,almeria
7,7.0,0.001,spanje,almeria
7,8.0,0.0,spanje,almeria
7,9.0,0.0,spanje,almeria
7,17.0,0.0,spanje,almeria
7,18.0,0.0,spanje,almeria
7,23.0,0.0,spanje,almeria
7,25.0,0.0,spanje,almeria
7,26.0,0.0,spanje,almeria
7,27.0,0.0,spanje,almeria
8,1.0,0.666,spanje,almeria
8,2.0,0.307,spanje,almeria
8,3.0,0.018,spanje,almeria
8,4.0,0.004,spanje,almeria
8,5.0,0.003,spanje,almeria
8,7.0,0.001,spanje,almeria
8,8.0,0.0,spanje,almeria
8,9.0,0.0,spanje,almeria
8,17.0,0.0,spanje,almeria
8,18.0,0.0,spanje,almeria
8,23.0,0.0,spanje,almeria
8,25.0,0.0,spanje,almeria
8,26.0,0.0,spanje,almeria
8,27.0,0.0,spanje,almeria
9,1.0,0.351,spanje,almeria
9,2.0,0.537,spanje,almeria
9,3.0,0.071,spanje,almeria
9,4.0,0.015,spanje,almeria
9,5.0,0.0,spanje,almeria
9,7.0,0.015,spanje,almeria
9,8.0,0.005,spanje,almeria
9,9.0,0.002,spanje,almeria
9,17.0,0.001,spanje,almeria
9,18.0,0.001,spanje,almeria
9,23.0,0.0,spanje,almeria
9,25.0,0.001,spanje,almeria
9,26.0,0.0,spanje,almeria
9,27.0,0.0,spanje,almeria
10,1.0,0.307,spanje,almeria
10,2.0,0.566,spanje,almeria
10,3.0,0.066,spanje,almeria
10,4.0,0.015,spanje,almeria
10,5.0,0.009,spanje,almeria
10,7.0,0.025,spanje,almeria
10,8.0,0.008,spanje,almeria
10,9.0,0.001,spanje,almeria
10,17.0,0.001,spanje,almeria
10,18.0,0.002,spanje,almeria
10,23.0,0.0,spanje,almeria
10,25.0,0.0,spanje,almeria
10,26.0,0.0,spanje,almeria
10,27.0,0.0,spanje,almeria
11,1.0,0.326,spanje,almeria
11,2.0,0.549,spanje,almeria
11,3.0,0.07,spanje,almeria
11,4.0,0.015,spanje,almeria
11,5.0,0.012,spanje,almeria
11,7.0,0.019,spanje,almeria
11,8.0,0.006,spanje,almeria
11,9.0,0.001,spanje,almeria
11,17.0,0.001,spanje,almeria
11,18.0,0.001,spanje,almeria
11,23.0,0.0,spanje,almeria
11,25.0,0.0,spanje,almeria
11,26.0,0.0,spanje,almeria
11,27.0,0.0,spanje,almeria
12,1.0,0.372,spanje,almeria
12,2.0,0.48,spanje,almeria
12,3.0,0.088,spanje,almeria
12,4.0,0.02,spanje,almeria
12,5.0,0.021,spanje,almeria
12,7.0,0.014,spanje,almeria
12,8.0,0.004,spanje,almeria
12,9.0,0.001,spanje,almeria
12,17.0,0.0,spanje,almeria
12,18.0,0.0,spanje,almeria
12,23.0,0.0,spanje,almeria
12,25.0,0.0,spanje,almeria
12,26.0,0.0,spanje,almeria
12,27.0,0.0,spanje,almeria
1,1.0,0.362,spanje,barcelona
1,2.0,0.29,spanje,barcelona
1,3.0,0.25,spanje,barcelona
1,4.0,0.013,spanje,barcelona
1,5.0,0.029,spanje,barcelona
1,7.0,0.03,spanje,barcelona
1,8.0,0.012,spanje,barcelona
1,9.0,0.005,spanje,barcelona
